tt0993846;nm0000138;Jordan Belfort
tt0993846;nm1706767;Donnie Azoff
tt0993846;nm3053338;Naomi Lapaglia
tt0993846;nm0000190;Mark Hanna
tt0993846;nm0151419;Agent Patrick Denham
tt0993846;nm0001661;Max Belfort
tt0993846;nm1256532;Brad
tt0993846;nm0269463;Manny Riskin
tt0993846;nm0241121;Jean Jacques Saurel
tt0993846;nm0525921;Aunt Emma
tt0993846;nm2129662;Teresa Petrillo
tt0993846;nm0002056;Leah Belfort
tt0993846;nm0924154;Captain Ted Beecham
tt0993846;nm1128592;Chantalle
tt0993846;nm0126260;Nicky Koskoff ('Rugrat')
tt2294629;nm0068338;Anna (voice)
tt2294629;nm0579953;Elsa (voice)
tt2294629;nm2676147;Kristoff (voice)
tt2294629;nm1265802;Olaf (voice)
tt2294629;nm2949014;Hans (voice)
tt2294629;nm0876138;Duke (voice)
tt2294629;nm0001354;Pabbie / Grandpa (voice)
tt2294629;nm0930261;Oaken (voice)
tt2294629;nm0027459;Kai (voice)
tt2294629;nm6104921;Bulda (voice)
tt2294629;nm0566052;Gerda (voice)
tt2294629;nm0683986;Bishop (voice)
tt2294629;nm0005606;King (voice)
tt2294629;nm5597831;Young Anna (voice)
tt2294629;nm4181314;Young Elsa (voice)
